id,name,category,area,address_ko,address_zh,lat,lng,description,route,opening_hours,tips,status,images,coord_method,coord_confidence,coord_source_url,coord_note
JW001,이오로,cafe,Seongsu,,圣水站四号口附近,,,同款对镜拍,圣水站4号口附近,,,unknown,JW001-1.png,,,,
JW002,江南同款咖啡厅（待确认）,cafe,Gangnam,서울 강남구 논현로 636 이디야빌딩,,,,江南同款咖啡厅,,,店名待确认,needs_name_confirm,JW002-1.png,,,,
JW003,圣水同款咖啡厅（待确认）,cafe,Seongsu,서울 성동구 광나루로4가길13,,,,圣水同款咖啡厅,,,店名待确认,needs_name_confirm,JW003-1.png,,,,
JW004,VELVET TRUNK,cafe,Seongsu,서울 성동구 성수이로 88 B1F,圣水洞二街 317-12,,,圣水同款咖啡厅,,,,unknown,"JW004-1.jpg,JW004-2.jpg",,,,
JW005,김포제일공업고등학교,school,Gimpo,"69 봉화로, 북변동, 김포시, 경기도 (북변동 477)","金浦第一工业高中 69 奉化路, 北边洞, 金浦市, 京畿道 (北边洞 477)",37.6211111111,126.7086111111,廷廷的高中,金浦金线-gold line 到沙隅站 1号口出；从首尔坐地铁/公交过去约两个小时,,,unknown,JW005-1.png,official_rooftop_coord,medium,https://www.airkorea.or.kr,官方屋顶坐标（DMS 转十进制度）；适合学校锚点，不代表具体校门
JW006,OLDEN BROWN,cafe,Seongnam/Pangyo,경기 성남시 분당구 동판교로52번길 17-7 1층,,,,来源小狗 2024-03-28 更新的 ins；偏美式复古风的咖啡厅,书岘站4号口约920m；板桥站2号口约1.3km，步行约20分钟,,离首尔较远,unknown,"JW006-1.png,JW006.png",,,,
JW007,daeo 书店,bookstore,Jongno,"33 Nuha-dong, Jongno-gu, Seoul",,37.5797886525,126.9693409251,《春天的阵雨》MV 里廷祐拍摄的书店,,12:00 开门,如果进去的话要买咖啡,unknown,JW007-1.png,poi_verified,high,https://www.koreatriptips.com/location.html?mapX=126.9693409251&mapY=37.5797886525&page=1,大悟书店精确点位页面
JW008,호석촌,restaurant,Songpa,서울특별시 송파구 석촌동 182-5,,37.5072449,127.1034263,金廷祐同款汤饭；点的是辣味汤饭,,24小时营业,,unknown,"JW008-1.jpg,JW008-2.jpg",poi_verified,high,https://polle.com/place/4OLSTW/%ED%98%B8%EC%84%9D%EC%B4%8C,店铺地址已核到 백제고분로39길 36；坐标来自公开点位数据
JW009,爷爷工厂,cafe,Seongsu,서울특별시 성동구 성수동2가 309-133,,,,咖啡厅爷爷工厂,,,貌似已经关门了,possibly_closed,"JW009-1.png,JW009-2.png",,,,
JW010,잠수교집 성수直营店,restaurant,Seongsu,서울특별시 성동구 성수동2가 277-156,,,,廷祐和道英被偶遇的那家,,,晚上九点多快十点去人也很多；店里暖气足，味道也不错,unknown,JW010-1.png,,,,
